                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4248,                 3.0531,                 4.0042,                 1.5445,                0.00389,                0.63636,                 0.0041,                0.00231,                0.00389,                0.63636,                 0.0041,                0.00249,                 1.1079,                 2.7863,                 3.7952,                 1.3179,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.3835,                 3.1313,                 4.0168,                 1.4962,                0.00389,                0.63636,                0.00414,                0.00255,                0.00389,                0.63636,                0.00661,                0.00288,                 1.0865,                 2.7444,                  3.778,                 1.3133,               9.01e-05,               9.01e-05,               9.01e-05
                      3,                 1.2422,                 2.8045,                 3.8013,                 1.3786,                0.00611,                      1,                0.13744,                 0.1062,                  0.005,                0.81818,                0.13653,                0.12023,                  1.008,                 2.0917,                 3.3578,                 1.0882,             0.00012832,             0.00012832,             0.00012832
                      4,                 1.0114,                 1.9018,                 3.3016,                 1.2079,                0.00611,                      1,                0.25736,                0.17672,                0.00556,                0.90909,                0.39145,                0.25554,                 1.0303,                 1.9577,                 3.2247,                  1.039,             0.00015466,             0.00015466,             0.00015466
                      5,                0.88708,                 1.7288,                  2.693,                 1.0254,                0.00611,                      1,                0.70472,                0.38107,                0.00556,                0.90909,                0.69564,                0.50237,                 1.1142,                 1.9903,                 3.0548,                 1.0263,             0.00016912,             0.00016912,             0.00016912
                      6,                0.91247,                 1.3742,                 2.2932,                0.95348,                0.00611,                      1,                0.71602,                0.39622,                0.00556,                0.90909,                0.69371,                0.49278,                 1.1722,                 1.9655,                 2.9411,                 1.0084,              0.0001717,              0.0001717,              0.0001717
                      7,                0.81534,                 1.1302,                 2.2106,                0.94281,                0.00611,                      1,                0.73376,                0.40689,                0.00556,                0.90909,                0.67774,                0.45145,                 1.1114,                 1.8686,                 2.9383,                0.98779,              0.0001624,              0.0001624,              0.0001624
                      8,                0.79845,                 1.0964,                 2.0162,                0.95112,                0.00611,                      1,                0.71878,                0.41396,                0.00556,                0.90909,                0.69367,                0.47125,                 1.0621,                 1.8317,                 2.9339,                0.98216,             0.00014122,             0.00014122,             0.00014122
                      9,                 0.7303,                  1.029,                 1.9138,                0.90499,                0.00611,                      1,                0.70832,                0.42906,                0.00556,                0.90909,                0.68992,                0.47919,                0.93759,                 1.7905,                 2.9506,                0.94095,             0.00010816,             0.00010816,             0.00010816
                     10,                0.67774,                 1.0935,                 1.8206,                0.95281,                0.00611,                      1,                0.67728,                0.41275,                0.00556,                0.90909,                0.66019,                 0.4779,                0.93067,                 1.8032,                 2.9278,                0.93959,              6.322e-05,              6.322e-05,              6.322e-05
